iter	Passed	Remaining
210	270	1011
211	271	1007
212	271	1003
213	272	999
214	272	995
215	273	992
216	273	988
217	274	984
218	274	980
219	275	977
220	276	975
221	277	971
222	277	968
223	278	965
224	279	961
225	279	958
226	280	954
227	281	951
228	281	948
229	282	945
230	282	941
231	283	938
232	284	935
233	284	931
234	285	928
235	285	925
236	286	921
237	286	918
238	287	915
239	288	912
240	288	908
241	289	905
242	289	902
243	290	899
244	291	897
245	291	894
246	292	891
247	293	888
248	293	885
249	294	882
250	294	879
251	295	876
252	295	873
253	296	870
254	296	867
255	297	864
256	298	861
257	298	858
258	299	856
259	299	853
260	300	850
261	300	847
262	301	844
263	301	841
264	302	838
265	302	835
266	303	833
267	304	830
268	304	827
269	305	825
270	305	822
271	306	819
272	306	817
273	307	814
274	307	811
275	308	808
276	308	806
277	309	803
278	309	800
279	310	798
280	310	795
281	311	792
282	311	790
283	312	787
284	312	784
285	313	782
286	313	779
287	314	777
288	314	774
289	315	771
290	315	769
291	316	767
292	317	765
293	317	763
294	318	761
295	319	759
296	319	757
297	320	755
298	321	753
299	321	751
300	322	749
301	323	746
302	323	744
303	324	742
304	324	740
305	325	738
306	326	736
307	326	733
308	327	732
309	327	730
310	328	728
311	329	725
312	329	724
313	330	722
314	331	720
315	331	718
316	332	716
317	333	714
318	333	712
319	334	710
320	335	708
321	335	707
322	336	705
323	337	703
324	338	702
325	338	700
326	339	698
327	340	697
328	341	695
329	341	694
330	342	692
331	342	690
332	343	688
333	344	686
334	344	684
335	345	682
336	346	680
337	346	678
338	347	677
339	347	675
340	348	673
341	349	671
342	349	669
343	350	667
344	350	666
345	351	664
346	352	662
347	352	660
348	353	659
349	353	657
350	354	655
351	355	653
352	355	652
353	356	650
354	357	649
355	357	647
356	358	646
357	359	644
358	360	643
359	361	642
360	361	640
361	362	638
362	363	637
363	363	635
364	364	633
365	364	632
366	365	630
367	366	628
368	366	626
369	367	624
370	367	623
371	368	622
372	369	620
373	369	618
374	370	617
375	370	615
376	371	613
377	371	612
378	372	610
379	373	608
380	373	607
381	374	605
382	374	603
383	375	602
384	375	600
385	376	598
386	377	597
387	377	595
388	378	593
389	378	592
390	379	590
391	379	589
392	380	587
393	380	585
394	381	584
395	382	582
396	382	581
397	383	579
398	383	578
399	384	576
400	385	575
401	385	573
402	386	572
403	387	571
404	387	569
405	388	567
406	388	566
407	389	564
408	389	563
409	390	561
410	390	560
411	391	558
412	392	557
413	392	555
414	393	554
415	393	552
416	394	551
417	394	549
418	395	548
419	395	546
420	396	545
421	397	543
422	397	542
423	398	540
424	398	539
425	399	537
426	399	536
427	400	535
428	401	533
429	401	532
430	402	531
431	402	529
432	403	528
433	404	526
434	404	525
435	405	524
436	405	522
437	406	521
438	407	520
439	407	518
440	408	517
441	408	515
442	409	514
443	409	513
444	410	511
445	410	510
446	411	508
447	411	507
448	412	506
449	413	504
450	413	503
451	414	502
452	414	500
453	415	499
454	415	498
455	416	496
456	417	495
457	417	494
458	418	492
459	418	491
460	419	490
461	419	488
462	420	487
463	421	486
464	421	485
465	422	483
466	422	482
467	423	481
468	423	479
469	424	478
470	424	477
471	425	475
472	425	474
473	426	473
474	426	471
475	427	470
476	428	469
477	428	468
478	429	466
479	429	465
480	430	464
481	430	463
482	431	461
483	432	460
484	432	459
485	433	458
486	433	456
487	434	455
488	434	454
489	435	453
490	436	452
491	436	450
492	437	449
493	437	448
494	438	447
